in s,C2 in V
2.4113584E-02,7.6169091E-01
2.4113888E-02,7.6249169E-01
2.4114192E-02,7.6244165E-01
2.4114496E-02,7.6254174E-01
2.4114800E-02,7.6038964E-01
2.4115104E-02,7.6254174E-01
2.4115408E-02,7.6314233E-01
2.4115712E-02,7.6389306E-01
2.4116016E-02,7.6444360E-01
2.4116320E-02,7.6519433E-01
2.4116624E-02,7.6564477E-01
2.4116928E-02,7.6604516E-01
2.4117232E-02,7.6529443E-01
2.4117536E-02,7.6449365E-01
2.4117840E-02,7.6404321E-01
2.4118144E-02,7.6279199E-01
2.4118448E-02,7.6289208E-01
2.4118752E-02,7.6329248E-01
2.4119056E-02,7.6339257E-01
2.4119360E-02,7.6299218E-01
2.4119664E-02,7.6449365E-01
2.4119968E-02,7.6374292E-01
2.4120272E-02,7.6399316E-01
2.4120576E-02,7.6369287E-01
2.4120880E-02,7.6504418E-01
2.4121184E-02,7.6529443E-01
2.4121488E-02,7.6479394E-01
2.4121792E-02,7.6514428E-01
2.4122096E-02,7.6604516E-01
2.4122400E-02,7.6439355E-01
2.4122704E-02,7.6539453E-01
2.4123008E-02,7.6549462E-01
2.4123312E-02,7.6269189E-01
2.4123616E-02,7.6309228E-01
2.4123920E-02,7.6209130E-01
2.4124224E-02,7.6449365E-01
2.4124528E-02,7.6319238E-01
2.4124832E-02,7.6364282E-01
2.4125136E-02,7.6409326E-01
2.4125440E-02,7.6424340E-01
2.4125744E-02,7.6444360E-01
2.4126048E-02,7.6344262E-01
2.4126352E-02,7.6499414E-01
2.4126656E-02,7.6304223E-01
2.4126960E-02,7.6364282E-01
2.4127264E-02,7.6399316E-01
2.4127568E-02,7.6524438E-01
2.4127872E-02,7.6429345E-01
2.4128176E-02,7.6294213E-01
2.4128480E-02,7.6479394E-01
2.4128784E-02,7.6269189E-01
2.4129088E-02,7.6289208E-01
2.4129392E-02,7.6264184E-01
2.4129696E-02,7.6354272E-01
2.4130000E-02,7.6344262E-01
2.4130304E-02,7.6329248E-01
2.4130608E-02,7.6339257E-01
2.4130912E-02,7.6429345E-01
2.4131216E-02,7.6439355E-01
2.4131520E-02,7.6174096E-01
2.4131824E-02,7.6349267E-01
2.4132128E-02,7.6489404E-01
2.4132432E-02,7.6499414E-01
2.4132736E-02,7.6349267E-01
2.4133040E-02,7.6444360E-01
2.4133344E-02,7.6389306E-01
2.4133648E-02,7.6409326E-01
2.4133952E-02,7.6379296E-01
2.4134256E-02,7.6529443E-01
2.4134560E-02,7.6454370E-01
2.4134864E-02,7.6514428E-01
2.4135168E-02,7.6439355E-01
2.4135472E-02,7.6379296E-01
2.4135776E-02,7.6514428E-01
2.4136080E-02,7.6544458E-01
2.4136384E-02,7.6599511E-01
2.4136688E-02,7.6584497E-01
2.4136992E-02,7.6444360E-01
2.4137296E-02,7.6334252E-01
2.4137600E-02,7.6334252E-01
2.4137904E-02,7.6349267E-01
2.4138208E-02,7.6549462E-01
2.4138512E-02,7.6479394E-01
2.4138816E-02,7.6589501E-01
2.4139120E-02,7.6504418E-01
2.4139424E-02,7.6614526E-01
2.4139728E-02,7.6579492E-01
2.4140032E-02,7.6624536E-01
2.4140336E-02,7.6489404E-01
2.4140640E-02,7.6554467E-01
2.4140944E-02,7.6534448E-01
2.4141248E-02,7.6454370E-01
2.4141552E-02,7.6339257E-01
2.4141856E-02,7.6264184E-01
2.4142160E-02,7.6384301E-01
2.4142464E-02,7.6524438E-01
2.4142768E-02,7.6289208E-01
2.4143072E-02,7.6043969E-01
2.4143376E-02,7.6389306E-01
2.4143680E-02,7.6659570E-01
2.4143984E-02,7.6634545E-01
2.4144288E-02,7.6624536E-01
2.4144592E-02,7.6619531E-01
2.4144896E-02,7.6579492E-01
2.4145200E-02,7.6479394E-01
2.4145504E-02,7.6509423E-01
2.4145808E-02,7.6454370E-01
2.4146112E-02,7.6444360E-01
2.4146416E-02,7.6709619E-01
2.4146720E-02,7.6404321E-01
2.4147024E-02,7.6419335E-01
2.4147328E-02,7.6474389E-01
2.4147632E-02,7.6394311E-01
2.4147936E-02,7.6519433E-01
2.4148240E-02,7.6459375E-01
2.4148544E-02,7.6294213E-01
2.4148848E-02,7.6429345E-01
2.4149152E-02,7.6519433E-01
2.4149456E-02,7.6389306E-01
2.4149760E-02,7.6469384E-01
2.4150064E-02,7.6444360E-01
2.4150368E-02,7.6419335E-01
2.4150672E-02,7.6589501E-01
2.4150976E-02,7.6569482E-01
2.4151280E-02,7.6384301E-01
2.4151584E-02,7.6589501E-01
2.4151888E-02,7.6369287E-01
2.4152192E-02,7.6504418E-01
2.4152496E-02,7.6439355E-01
2.4152800E-02,7.6399316E-01
2.4153104E-02,7.6314233E-01
2.4153408E-02,7.6204125E-01
2.4153712E-02,7.6219140E-01
2.4154016E-02,7.6254174E-01
2.4154320E-02,7.6219140E-01
2.4154624E-02,7.6479394E-01
2.4154928E-02,7.6469384E-01
2.4155232E-02,7.6634545E-01
2.4155536E-02,7.6574487E-01
2.4155840E-02,7.6524438E-01
2.4156144E-02,7.6699609E-01
2.4156448E-02,7.6624536E-01
2.4156752E-02,7.6364282E-01
2.4157056E-02,7.6414331E-01
2.4157360E-02,7.6524438E-01
2.4157664E-02,7.6419335E-01
2.4157968E-02,7.6304223E-01
2.4158272E-02,7.6359277E-01
2.4158576E-02,7.6599511E-01
2.4158880E-02,7.6469384E-01
2.4159184E-02,7.6434350E-01
2.4159488E-02,7.6399316E-01
2.4159792E-02,7.6364282E-01
2.4160096E-02,7.6354272E-01
2.4160400E-02,7.6414331E-01
2.4160704E-02,7.6309228E-01
2.4161008E-02,7.6249169E-01
2.4161312E-02,7.6509423E-01
2.4161616E-02,7.6554467E-01
2.4161920E-02,7.6779687E-01
2.4162224E-02,7.6499414E-01
2.4162528E-02,7.6544458E-01
2.4162832E-02,7.6604516E-01
2.4163136E-02,7.6599511E-01
2.4163440E-02,7.6554467E-01
2.4163744E-02,7.6449365E-01
2.4164048E-02,7.6314233E-01
2.4164352E-02,7.6419335E-01
2.4164656E-02,7.6489404E-01
2.4164960E-02,7.6444360E-01
2.4165264E-02,7.6484399E-01
2.4165568E-02,7.6464379E-01
2.4165872E-02,7.6419335E-01
2.4166176E-02,7.6659570E-01
2.4166480E-02,7.6644555E-01
2.4166784E-02,7.6504418E-01
2.4167088E-02,7.6609521E-01
2.4167392E-02,7.6609521E-01
2.4167696E-02,7.6594506E-01
2.4168000E-02,7.6554467E-01
2.4168304E-02,7.6694604E-01
2.4168608E-02,7.6694604E-01
2.4168912E-02,7.6659570E-01
2.4169216E-02,7.6854760E-01
2.4169520E-02,7.6809716E-01
2.4169824E-02,7.6649560E-01
2.4170128E-02,7.6529443E-01
2.4170432E-02,7.6609521E-01
2.4170736E-02,7.6499414E-01
2.4171040E-02,7.6364282E-01
2.4171344E-02,7.6499414E-01
2.4171648E-02,7.6509423E-01
2.4171952E-02,7.6579492E-01
2.4172256E-02,7.6589501E-01
2.4172560E-02,7.6414331E-01
2.4172864E-02,7.6554467E-01
2.4173168E-02,7.6634545E-01
2.4173472E-02,7.6554467E-01
2.4173776E-02,7.6649560E-01
2.4174080E-02,7.6679589E-01
2.4174384E-02,7.6569482E-01
2.4174688E-02,7.6619531E-01
2.4174992E-02,7.6599511E-01
2.4175296E-02,7.6489404E-01
2.4175600E-02,7.6659570E-01
2.4175904E-02,7.6489404E-01
2.4176208E-02,7.6709619E-01
2.4176512E-02,7.6534448E-01
2.4176816E-02,7.6484399E-01
2.4177120E-02,7.6739648E-01
2.4177424E-02,7.6659570E-01
2.4177728E-02,7.6779687E-01
2.4178032E-02,7.6684594E-01
2.4178336E-02,7.6734643E-01
2.4178640E-02,7.6854760E-01
2.4178944E-02,7.6849755E-01
2.4179248E-02,7.6699609E-01
2.4179552E-02,7.6714624E-01
2.4179856E-02,7.6764672E-01
2.4180160E-02,7.6524438E-01
2.4180464E-02,7.6314233E-01
2.4180768E-02,7.6394311E-01
2.4181072E-02,7.6454370E-01
2.4181376E-02,7.6349267E-01
2.4181680E-02,7.6574487E-01
2.4181984E-02,7.6464379E-01
2.4182288E-02,7.6619531E-01
2.4182592E-02,7.6529443E-01
2.4182896E-02,7.6689599E-01
2.4183200E-02,7.6584497E-01
2.4183504E-02,7.6534448E-01
2.4183808E-02,7.6549462E-01
2.4184112E-02,7.6389306E-01
2.4184416E-02,7.6539453E-01
2.4184720E-02,7.6499414E-01
2.4185024E-02,7.6424340E-01
2.4185328E-02,7.6599511E-01
2.4185632E-02,7.6389306E-01
2.4185936E-02,7.6644555E-01
2.4186240E-02,7.6519433E-01
2.4186544E-02,7.6549462E-01
2.4186848E-02,7.6549462E-01
2.4187152E-02,7.6389306E-01
2.4187456E-02,7.6464379E-01
2.4187760E-02,7.6314233E-01
2.4188064E-02,7.6339257E-01
2.4188368E-02,7.6229150E-01
2.4188672E-02,7.6319238E-01
2.4188976E-02,7.6339257E-01
2.4189280E-02,7.6579492E-01
2.4189584E-02,7.6529443E-01
2.4189888E-02,7.6524438E-01
2.4190192E-02,7.6534448E-01
2.4190496E-02,7.6399316E-01
2.4190800E-02,7.6419335E-01
2.4191104E-02,7.6504418E-01
2.4191408E-02,7.6394311E-01
2.4191712E-02,7.6554467E-01
2.4192016E-02,7.6469384E-01
2.4192320E-02,7.6284204E-01
2.4192624E-02,7.6349267E-01
2.4192928E-02,7.6439355E-01
2.4193232E-02,7.6289208E-01
2.4193536E-02,7.6419335E-01
2.4193840E-02,7.6439355E-01
2.4194144E-02,7.6554467E-01
2.4194448E-02,7.6339257E-01
2.4194752E-02,7.6419335E-01
2.4195056E-02,7.6479394E-01
2.4195360E-02,7.6464379E-01
2.4195664E-02,7.6389306E-01
2.4195968E-02,7.6364282E-01
2.4196272E-02,7.6374292E-01
2.4196576E-02,7.6284204E-01
2.4196880E-02,7.6529443E-01
2.4197184E-02,7.6339257E-01
2.4197488E-02,7.6259179E-01
2.4197792E-02,7.6214135E-01
2.4198096E-02,7.6234155E-01
2.4198400E-02,7.6474389E-01
2.4198704E-02,7.6389306E-01
2.4199008E-02,7.6434350E-01
2.4199312E-02,7.6514428E-01
2.4199616E-02,7.6494409E-01
2.4199920E-02,7.6504418E-01
2.4200224E-02,7.6469384E-01
2.4200528E-02,7.6444360E-01
2.4200832E-02,7.6459375E-01
2.4201136E-02,7.6409326E-01
2.4201440E-02,7.6394311E-01
2.4201744E-02,7.6359277E-01
2.4202048E-02,7.6449365E-01
2.4202352E-02,7.6229150E-01
2.4202656E-02,7.6174096E-01
2.4202960E-02,7.6314233E-01
2.4203264E-02,7.6304223E-01
