in s,C2 in V
2.91845907E-01,7.7350616E-01
2.91846368E-01,7.7335358E-01
2.91846829E-01,7.7503204E-01
2.91847290E-01,7.7716827E-01
2.91847750E-01,7.7587128E-01
2.91848211E-01,7.7747345E-01
2.91848672E-01,7.7548981E-01
2.91849133E-01,7.7610016E-01
2.91849594E-01,7.7671051E-01
2.91850054E-01,7.7838898E-01
2.91850515E-01,7.7457428E-01
2.91850976E-01,7.7342987E-01
2.91851437E-01,7.7518463E-01
2.91851898E-01,7.7663422E-01
2.91852358E-01,7.7465057E-01
2.91852819E-01,7.7640533E-01
2.91853280E-01,7.7716827E-01
2.91853741E-01,7.7709198E-01
2.91854202E-01,7.7701569E-01
2.91854662E-01,7.7587128E-01
2.91855123E-01,7.7808380E-01
2.91855584E-01,7.7503204E-01
2.91856045E-01,7.7571869E-01
2.91856506E-01,7.8006744E-01
2.91856966E-01,7.7693939E-01
2.91857427E-01,7.7884674E-01
2.91857888E-01,7.7793121E-01
2.91858349E-01,7.7640533E-01
2.91858810E-01,7.7709198E-01
2.91859270E-01,7.7655792E-01
2.91859731E-01,7.7686310E-01
2.91860192E-01,7.7678680E-01
2.91860653E-01,7.7701569E-01
2.91861114E-01,7.7701569E-01
2.91861574E-01,7.7594757E-01
2.91862035E-01,7.7510834E-01
2.91862496E-01,7.7579498E-01
2.91862957E-01,7.7808380E-01
2.91863418E-01,7.7503204E-01
2.91863878E-01,7.7701569E-01
2.91864339E-01,7.7671051E-01
2.91864800E-01,7.7518463E-01
2.91865261E-01,7.7510834E-01
2.91865722E-01,7.7510834E-01
2.91866182E-01,7.7548981E-01
2.91866643E-01,7.7678680E-01
2.91867104E-01,7.7869415E-01
2.91867565E-01,7.7625275E-01
2.91868026E-01,7.7457428E-01
2.91868486E-01,7.7457428E-01
2.91868947E-01,7.7335358E-01
2.91869408E-01,7.7579498E-01
2.91869869E-01,7.7495575E-01
2.91870330E-01,7.7457428E-01
2.91870790E-01,7.7457428E-01
2.91871251E-01,7.7396393E-01
2.91871712E-01,7.7396393E-01
2.91872173E-01,7.7152252E-01
2.91872634E-01,7.7419281E-01
2.91873094E-01,7.7426910E-01
2.91873555E-01,7.7327728E-01
2.91874016E-01,7.7548981E-01
2.91874477E-01,7.7457428E-01
2.91874938E-01,7.7465057E-01
2.91875398E-01,7.7510834E-01
2.91875859E-01,7.7236176E-01
2.91876320E-01,7.7136993E-01
2.91876781E-01,7.7091217E-01
2.91877242E-01,7.6923370E-01
2.91877702E-01,7.7190399E-01
2.91878163E-01,7.7106476E-01
2.91878624E-01,7.7220917E-01
2.91879085E-01,7.7396393E-01
2.91879546E-01,7.7365875E-01
2.91880006E-01,7.7480316E-01
2.91880467E-01,7.7396393E-01
2.91880928E-01,7.7411652E-01
2.91881389E-01,7.7487946E-01
2.91881850E-01,7.7426910E-01
2.91882310E-01,7.7518463E-01
2.91882771E-01,7.7632904E-01
2.91883232E-01,7.7579498E-01
2.91883693E-01,7.7724457E-01
2.91884154E-01,7.7701569E-01
2.91884614E-01,7.7579498E-01
2.91885075E-01,7.7526093E-01
2.91885536E-01,7.7457428E-01
2.91885997E-01,7.7564240E-01
2.91886458E-01,7.7671051E-01
2.91886918E-01,7.7732086E-01
2.91887379E-01,7.7701569E-01
2.91887840E-01,7.7487946E-01
2.91888301E-01,7.7457428E-01
2.91888762E-01,7.7556610E-01
2.91889222E-01,7.7564240E-01
2.91889683E-01,7.7953339E-01
2.91890144E-01,7.7953339E-01
2.91890605E-01,7.7869415E-01
2.91891066E-01,7.7816010E-01
2.91891526E-01,7.7922821E-01
2.91891987E-01,7.7709198E-01
2.91892448E-01,7.7823639E-01
2.91892909E-01,7.7968597E-01
2.91893370E-01,7.7938080E-01
2.91893830E-01,7.7846527E-01
2.91894291E-01,7.7831268E-01
2.91894752E-01,7.7899933E-01
2.91895213E-01,7.7823639E-01
2.91895674E-01,7.8037262E-01
2.91896134E-01,7.7884674E-01
2.91896595E-01,7.7808380E-01
2.91897056E-01,7.7655792E-01
2.91897517E-01,7.7800751E-01
2.91897978E-01,7.7594757E-01
2.91898438E-01,7.7770233E-01
2.91898899E-01,7.7861786E-01
2.91899360E-01,7.7899933E-01
2.91899821E-01,7.8067780E-01
2.91900282E-01,7.8334808E-01
2.91900742E-01,7.8250885E-01
2.91901203E-01,7.7991486E-01
2.91901664E-01,7.8060150E-01
2.91902125E-01,7.7953339E-01
2.91902586E-01,7.8029633E-01
2.91903046E-01,7.8403473E-01
2.91903507E-01,7.8311920E-01
2.91903968E-01,7.8289032E-01
2.91904429E-01,7.8273773E-01
2.91904890E-01,7.8281403E-01
2.91905350E-01,7.8220367E-01
2.91905811E-01,7.8319550E-01
2.91906272E-01,7.8174591E-01
2.91906733E-01,7.8296661E-01
